"","X","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round","alphas","betas","dist"
"106",106,"aircon","Sali Juvenile Survival","Scenario 1a","Refuge",0.6,0.7,0.8,0.75,"Round 2",20.5229485592906,8.90498499744163,"beta"
"107",107,"aircon","Sali Juvenile Survival","Scenario 1b","Refuge",0.3,0.5,0.6,0.8,"Round 2",8.80044584820699,9.09524495102075,"beta"
"108",108,"aircon","Sali Juvenile Survival","Scenario 1c","Refuge",0.5,0.6,0.7,0.7,"Round 2",15.7732124718549,10.6107471273772,"beta"
"109",109,"aircon","Sali Juvenile Survival","Scenario 2a","Refuge",0.5,0.6,0.7,0.7,"Round 2",15.6321427737075,10.5188368796356,"beta"
"110",110,"aircon","Sali Juvenile Survival","Scenario 2b","Refuge",0.2,0.4,0.5,0.8,"Round 2",7.36755654466321,11.1853237613513,"beta"
"111",111,"aircon","Sali Juvenile Survival","Scenario 2c","Refuge",0.4,0.5,0.6,0.7,"Round 2",13.3547513592663,13.3633436349096,"beta"
"112",112,"aircon","Sali Juvenile Survival","Scenario 3","Refuge",0.6,0.7,0.8,0.75,"Round 2",20.2948300149389,8.82534310269605,"beta"
"113",113,"CDEDBDiis","Sali Juvenile Survival","Scenario 1a","HMU",0.58,0.65,0.73,0.9,"Round 2",71.1669583201473,38.324447741676,"beta"
"114",114,"CDEDBDiis","Sali Juvenile Survival","Scenario 1b","HMU",0.45,0.5,0.6,0.9,"Round 2",59.7059238364729,59.7023038576094,"beta"
"115",115,"CDEDBDiis","Sali Juvenile Survival","Scenario 1c","HMU",0.5,0.57,0.65,0.9,"Round 2",66.1617657889522,49.9123123198472,"beta"
"116",116,"CDEDBDiis","Sali Juvenile Survival","Scenario 2a","HMU",0.5,0.61,0.68,0.9,"Round 2",47.7427965129166,30.5413382722284,"beta"
"117",117,"CDEDBDiis","Sali Juvenile Survival","Scenario 2b","HMU",0.35,0.43,0.55,0.9,"Round 2",27.7908228838123,36.8278406650899,"beta"
"118",118,"CDEDBDiis","Sali Juvenile Survival","Scenario 2c","HMU",0.4,0.45,0.6,0.9,"Round 2",28.9936468859613,35.3923013107583,"beta"
"119",119,"CDEDBDiis","Sali Juvenile Survival","Scenario 3","HMU",0.55,0.63,0.7,0.9,"Round 2",69.7027278099312,40.9429468893194,"beta"
"120",120,"CDEDBDiis","Sali Juvenile Survival","Scenario 1a","Refuge",0.58,0.65,0.73,0.9,"Round 2",71.7543800214916,38.6369738577262,"beta"
"121",121,"CDEDBDiis","Sali Juvenile Survival","Scenario 1b","Refuge",0.45,0.5,0.6,0.9,"Round 2",59.5806067105222,59.5767846372472,"beta"
"122",122,"CDEDBDiis","Sali Juvenile Survival","Scenario 1c","Refuge",0.5,0.57,0.65,0.9,"Round 2",66.5264937640398,50.1878509484107,"beta"
"123",123,"CDEDBDiis","Sali Juvenile Survival","Scenario 2a","Refuge",0.5,0.61,0.68,0.9,"Round 2",47.2719723690909,30.2408440873497,"beta"
"124",124,"CDEDBDiis","Sali Juvenile Survival","Scenario 2b","Refuge",0.35,0.43,0.55,0.9,"Round 2",27.8208889872889,36.8523226404076,"beta"
