"","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round"
"79","GuamX","Ko'ko' Juvenile Survival","Scenario 1b","Refuge",0.45,0.5,0.72,0.9,"Round 2"
"80","GuamX","Ko'ko' Juvenile Survival","Scenario 1c","Refuge",0.55,0.6,0.73,0.9,"Round 2"
"81","GuamX","Ko'ko' Juvenile Survival","Scenario 2a","Refuge",0.53,0.65,0.78,0.9,"Round 2"
"82","GuamX","Ko'ko' Juvenile Survival","Scenario 2b","Refuge",0.45,0.5,0.75,0.9,"Round 2"
"83","GuamX","Ko'ko' Juvenile Survival","Scenario 2c","Refuge",0.55,0.6,0.73,0.9,"Round 2"
"84","GuamX","Ko'ko' Juvenile Survival","Scenario 3","Refuge",0.6,0.65,0.75,0.9,"Round 2"
"85","Expert 1","Ko'ko' Juvenile Survival","Scenario 1a","HMU",0.25,0.41,0.65,0.8,"Round 2"
"86","Expert 1","Ko'ko' Juvenile Survival","Scenario 1b","HMU",0,0.2,0.45,0.8,"Round 2"
"87","Expert 1","Ko'ko' Juvenile Survival","Scenario 1c","HMU",0,0.3,0.55,0.8,"Round 2"
"88","Expert 1","Ko'ko' Juvenile Survival","Scenario 2a","HMU",0,0.3,0.4,0.8,"Round 2"
"89","Expert 1","Ko'ko' Juvenile Survival","Scenario 2b","HMU",0,0.2,0.4,0.8,"Round 2"
"90","Expert 1","Ko'ko' Juvenile Survival","Scenario 2c","HMU",0.1,0.25,0.425,0.8,"Round 2"
"91","Expert 1","Ko'ko' Juvenile Survival","Scenario 3","HMU",0.25,0.41,0.475,0.8,"Round 2"
"92","Expert 1","Ko'ko' Juvenile Survival","Scenario 1a","Refuge",0.25,0.41,0.65,0.8,"Round 2"
"93","Expert 1","Ko'ko' Juvenile Survival","Scenario 1b","Refuge",0,0.2,0.45,0.8,"Round 2"
"94","Expert 1","Ko'ko' Juvenile Survival","Scenario 1c","Refuge",0,0.3,0.55,0.8,"Round 2"
"95","Expert 1","Ko'ko' Juvenile Survival","Scenario 2a","Refuge",0,0.3,0.4,0.8,"Round 2"
"96","Expert 1","Ko'ko' Juvenile Survival","Scenario 2b","Refuge",0,0.2,0.4,0.8,"Round 2"
"97","Expert 1","Ko'ko' Juvenile Survival","Scenario 2c","Refuge",0.1,0.25,0.425,0.8,"Round 2"
"98","Expert 1","Ko'ko' Juvenile Survival","Scenario 3","Refuge",0.25,0.41,0.475,0.8,"Round 2"
"99","aircon","Ko'ko' Juvenile Survival","Scenario 1a","HMU",0.4,0.5,0.6,0.8,"Round 2"
"100","aircon","Ko'ko' Juvenile Survival","Scenario 1b","HMU",0.2,0.3,0.4,0.8,"Round 2"
"101","aircon","Ko'ko' Juvenile Survival","Scenario 1c","HMU",0.35,0.45,0.55,0.8,"Round 2"
"102","aircon","Ko'ko' Juvenile Survival","Scenario 2a","HMU",0.2,0.3,0.4,0.8,"Round 2"
"103","aircon","Ko'ko' Juvenile Survival","Scenario 2b","HMU",0,0.1,0.2,0.85,"Round 2"
"104","aircon","Ko'ko' Juvenile Survival","Scenario 2c","HMU",0.1,0.2,0.3,0.8,"Round 2"
"105","aircon","Ko'ko' Juvenile Survival","Scenario 3","HMU",0.4,0.5,0.6,0.8,"Round 2"
"106","aircon","Ko'ko' Juvenile Survival","Scenario 1a","Refuge",0.4,0.5,0.6,0.8,"Round 2"
"107","aircon","Ko'ko' Juvenile Survival","Scenario 1b","Refuge",0.2,0.3,0.4,0.8,"Round 2"
"108","aircon","Ko'ko' Juvenile Survival","Scenario 1c","Refuge",0.35,0.45,0.55,0.8,"Round 2"
"109","aircon","Ko'ko' Juvenile Survival","Scenario 2a","Refuge",0.2,0.3,0.4,0.8,"Round 2"
"110","aircon","Ko'ko' Juvenile Survival","Scenario 2b","Refuge",0,0.1,0.2,0.85,"Round 2"
"111","aircon","Ko'ko' Juvenile Survival","Scenario 2c","Refuge",0.1,0.2,0.3,0.8,"Round 2"
"112","aircon","Ko'ko' Juvenile Survival","Scenario 3","Refuge",0.4,0.5,0.6,0.8,"Round 2"
"113","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 1a","HMU",0.32,0.45,0.55,0.9,"Round 2"
"114","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 1b","HMU",0.25,0.33,0.4,0.9,"Round 2"
"115","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 1c","HMU",0.28,0.38,0.45,0.9,"Round 2"
"116","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 2a","HMU",0.28,0.4,0.5,0.9,"Round 2"
"117","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 2b","HMU",0.2,0.27,0.35,0.9,"Round 2"
"118","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 2c","HMU",0.23,0.3,0.4,0.9,"Round 2"
"119","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 3","HMU",0.3,0.42,0.53,0.9,"Round 2"
"120","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 1a","Refuge",0.32,0.45,0.55,0.9,"Round 2"
"121","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 1b","Refuge",0.25,0.33,0.4,0.9,"Round 2"
"122","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 1c","Refuge",0.28,0.38,0.45,0.9,"Round 2"
"123","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 2a","Refuge",0.28,0.4,0.5,0.9,"Round 2"
"124","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 2b","Refuge",0.2,0.27,0.35,0.9,"Round 2"
"125","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 2c","Refuge",0.23,0.3,0.4,0.9,"Round 2"
"126","CDEDBDiis","Ko'ko' Juvenile Survival","Scenario 3","Refuge",0.3,0.42,0.53,0.9,"Round 2"
"127","96929","Ko'ko' Juvenile Survival","Scenario 1a","HMU",0.46629,0.5828625,0.728578125,0.9,"Round 2"
"128","96929","Ko'ko' Juvenile Survival","Scenario 1b","HMU",0.373032,0.46629,0.5828625,0.9,"Round 2"
"129","96929","Ko'ko' Juvenile Survival","Scenario 1c","HMU",0.419661,0.52457625,0.6557203125,0.9,"Round 2"
"130","96929","Ko'ko' Juvenile Survival","Scenario 2a","HMU",0.373032,0.46629,0.5828625,0.9,"Round 2"
"131","96929","Ko'ko' Juvenile Survival","Scenario 2b","HMU",0.3170772,0.3963465,0.495433125,0.9,"Round 2"
"132","96929","Ko'ko' Juvenile Survival","Scenario 2c","HMU",0.3357288,0.419661,0.52457625,0.9,"Round 2"
"133","96929","Ko'ko' Juvenile Survival","Scenario 3","HMU",0.46629,0.5828625,0.728578125,0.9,"Round 2"
"134","96929","Ko'ko' Juvenile Survival","Scenario 1a","Refuge",0.471,0.58875,0.7359375,0.9,"Round 2"
