"","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round"
"171","aircon","Sali Fledgling Survival","Scenario 1c","HMU",0.2,0.35,0.4,0.8,"Round 2"
"172","aircon","Sali Fledgling Survival","Scenario 2a","HMU",0.4,0.5,0.6,0.75,"Round 2"
"173","aircon","Sali Fledgling Survival","Scenario 2b","HMU",0,0.1,0.2,0.8,"Round 2"
"174","aircon","Sali Fledgling Survival","Scenario 2c","HMU",0.1,0.25,0.3,0.8,"Round 2"
"175","aircon","Sali Fledgling Survival","Scenario 3","HMU",0.5,0.6,0.7,0.75,"Round 2"
"176","aircon","Sali Fledgling Survival","Scenario 1a","Refuge",0.5,0.6,0.7,0.75,"Round 2"
"177","aircon","Sali Fledgling Survival","Scenario 1b","Refuge",0.1,0.2,0.3,0.8,"Round 2"
"178","aircon","Sali Fledgling Survival","Scenario 1c","Refuge",0.2,0.35,0.4,0.8,"Round 2"
"179","aircon","Sali Fledgling Survival","Scenario 2a","Refuge",0.4,0.5,0.6,0.75,"Round 2"
"180","aircon","Sali Fledgling Survival","Scenario 2b","Refuge",0,0.1,0.2,0.8,"Round 2"
"181","aircon","Sali Fledgling Survival","Scenario 2c","Refuge",0.1,0.25,0.3,0.8,"Round 2"
"182","aircon","Sali Fledgling Survival","Scenario 3","Refuge",0.5,0.6,0.7,0.75,"Round 2"
"183","CDEDBDiis","Sali Fledgling Survival","Scenario 1a","HMU",0.35,0.48,0.5,0.9,"Round 2"
"184","CDEDBDiis","Sali Fledgling Survival","Scenario 1b","HMU",0.2,0.38,0.45,0.9,"Round 2"
"185","CDEDBDiis","Sali Fledgling Survival","Scenario 1c","HMU",0.3,0.4,0.5,0.9,"Round 2"
"186","CDEDBDiis","Sali Fledgling Survival","Scenario 2a","HMU",0.35,0.44,0.5,0.9,"Round 2"
"187","CDEDBDiis","Sali Fledgling Survival","Scenario 2b","HMU",0.28,0.33,0.35,0.9,"Round 2"
"188","CDEDBDiis","Sali Fledgling Survival","Scenario 2c","HMU",0.3,0.35,0.4,0.9,"Round 2"
"189","CDEDBDiis","Sali Fledgling Survival","Scenario 3","HMU",0.35,0.46,0.5,0.9,"Round 2"
"190","CDEDBDiis","Sali Fledgling Survival","Scenario 1a","Refuge",0.35,0.48,0.5,0.9,"Round 2"
"191","CDEDBDiis","Sali Fledgling Survival","Scenario 1b","Refuge",0.2,0.38,0.45,0.9,"Round 2"
